instant,Day.Of.Week,target
1285,4,6238
1286,5,6226
1287,6,4364
1288,7,2882
1289,1,4010
1290,2,6084
1291,3,5874
1292,4,5719
1293,5,5003
1294,6,3605
1295,7,2811
1296,1,3567
1297,2,5237
1298,3,6154
1299,4,5895
1300,5,5858
1301,6,5034
1302,7,3613
1303,1,4389
1304,2,6278
1305,3,6836
1306,4,6731
1307,5,6287
1308,6,5089
1309,7,3812
1310,1,5290
1311,2,7161
1312,3,7352
1313,4,7218
1314,5,7040
1315,6,5367
1316,7,4021
1317,1,5397
1318,2,7605
1319,3,7614
1320,4,7984
1321,5,7040
1322,6,5628
1323,7,3926
1324,1,5479
1325,2,6670
1326,3,6783
1327,4,7105
1328,5,6877
1329,6,5460
1330,7,3648
1331,1,4917
1332,2,6980
1333,3,6702
1334,4,6699
1335,5,6001
1336,6,5094
1337,7,3179
1338,1,4169
1339,2,6392
1340,3,5878
1341,4,5800
1342,5,5690
1343,6,4314
1344,7,2948
1345,1,3864
1346,2,5499
1347,3,5790
1348,4,5720
1349,5,5692
1350,6,4082
1351,7,2716
1352,1,3430
1353,2,4353
1354,3,5525
1355,4,5407
1356,5,4994
1357,6,3835
1358,7,2511
1359,1,3371
1360,2,5226
1361,3,5139
1362,4,5051
1363,5,4787
1364,6,3956
1365,7,2303
1366,1,3011
1367,2,4896
1368,3,4952
1369,4,4570
1370,5,4542
1371,6,3383
1372,7,1922
1373,1,2404
1374,2,4576
1375,3,4727
1376,4,4639
1377,5,4108
1378,6,3372
1379,7,1996
1380,1,2415
1381,2,4457
1382,3,4736
1383,4,4245
1384,5,4081
1385,6,3053
1386,7,1741
1387,1,2186
1388,2,4026
1389,3,3961
1390,4,3019
1391,5,3743
1392,6,3050
1393,7,1688
1394,1,2185
1395,2,4104
1396,3,4097
1397,4,3844
1398,5,3743
1399,6,3073
1400,7,1852
1401,1,2105
1402,2,4078
1403,3,4515
1404,4,4276
1405,5,4043
1406,6,3004
1407,7,1664
1408,1,2248
1409,2,4062
1410,3,4053
1411,4,3628
1412,5,3596
1413,6,3140
1414,7,1938
1415,1,2460
1416,2,4175
1417,3,4113
1418,4,4273
1419,5,4194
1420,6,3405
1421,7,1800
1422,1,2378
1423,2,4319
1424,3,4388
1425,4,4205
1426,5,3973
1427,6,3510
1428,7,1913
1429,1,2397
1430,2,4348
1431,3,3966
1432,4,3805
1433,5,3866
1434,6,3489
1435,7,2074
1436,1,2519
1437,2,4202
1438,3,4023
1439,4,4048
1440,5,4150
1441,6,3154
1442,7,2143
1443,1,2576
1444,2,4317
1445,3,4421
1446,4,4563
1447,5,4055
1448,6,3427
1449,7,1731
1450,1,2258
1451,2,3655
1452,3,4456
1453,4,4566
1454,5,4314
1455,6,3557
1456,7,2281
1457,1,3346
1458,2,4711
1459,3,4709
1460,4,4379
1461,5,4357
1462,6,3560
1463,7,2049
1464,1,2813
1465,2,5064
1466,3,5006
1467,4,4949
1468,5,4695
1469,6,3516
1470,7,2460
1471,1,2994
1472,2,4688
1473,3,4924
1474,4,5209
1475,5,5966
1476,6,4740
1477,7,2715
1478,1,3739
1479,2,5841
1480,3,5881
1481,4,5540
1482,5,5636
1483,6,4479
1484,7,3076
1485,1,3973
1486,2,6045
1487,3,6126
1488,4,6084
1489,5,6154
1490,6,4868
1491,7,3409
1492,1,4722
1493,2,6555
1494,3,7079
1495,4,6691
1496,5,6522
1497,6,4922
1498,7,3409
1499,1,4483
1500,2,6666
1501,3,6991
1502,4,6871
1503,5,6357
1504,6,5114
1505,7,3456
1506,1,4924
1507,2,6837
1508,3,6481
1509,4,6296
1510,5,6044
1511,6,4860
1512,7,3430
1513,1,4638
1514,2,6365
1515,3,6330
1516,4,5865
1517,5,5692
1518,6,5026
1519,7,3506
1520,1,4778
1521,2,6684
1522,3,6766
1523,4,6916
1524,5,6440
1525,6,5066
1526,7,3503
1527,1,4855
1528,2,6818
1529,3,6239
1530,4,5471
1531,5,4453
1532,6,4062
1533,7,3485
1534,1,4906
1535,2,7099
1536,3,7503
1537,4,7554
1538,5,7169
1539,6,5608
1540,7,4055
1541,1,5611
1542,2,7650
1543,3,7372
1544,4,7369
1545,5,7250
1546,6,5735
1547,7,4614
1548,1,5979
1549,2,7840
1550,3,7659
1551,4,7319
1552,5,6373
1553,6,4897
1554,7,3325
1555,1,3874
1556,2,5436
1557,3,5174
1558,4,4873
1559,5,3913
1560,6,2934
1561,7,1523
1562,1,1859
1563,2,1835
1564,3,1852
1565,4,2357
1566,5,2583
1567,6,2477
1568,7,1694
1569,1,1985
1570,2,1723
1571,3,1715
1572,4,3431
1573,5,4118
1574,6,3504
1575,7,2308
