instant,Day.Of.Week,Month,Day,Month/Day,Returning.Visits,target
1991,3,2,25,225,609,5496
531,6,2,26,226,558,4165
1262,2,2,26,226,676,5542
897,1,2,26,226,473,3397
1992,4,2,26,226,546,5059
166,5,2,26,226,561,5289
1627,3,2,26,226,774,6431
1263,3,2,27,227,641,5378
1628,4,2,27,227,763,5919
898,2,2,27,227,803,5062
1993,5,2,27,227,512,4813
532,7,2,27,227,370,2829
167,6,2,27,227,483,4434
533,1,2,28,228,517,4090
168,7,2,28,228,283,2665
899,3,2,28,228,745,4926
1994,6,2,28,228,483,3810
1629,5,2,28,228,700,5668
1264,4,2,28,228,639,5536
1995,7,2,29,229,311,2682
534,2,2,29,229,731,5734
1996,1,3,1,301,375,3332
535,3,3,1,301,743,6214
169,1,3,1,301,387,3907
1630,6,3,1,301,584,4581
900,4,3,1,301,736,4936
1265,5,3,1,301,602,4984
1631,7,3,2,302,385,3383
1266,6,3,2,302,523,4130
170,2,3,2,302,556,5308
901,5,3,2,302,694,4688
536,4,3,2,302,736,5906
1997,2,3,2,302,537,4872
902,6,3,3,303,559,3827
537,5,3,3,303,772,5814
1998,3,3,3,303,504,5097
1267,7,3,3,303,343,2818
1632,1,3,3,303,529,4311
171,3,3,3,303,535,5773
538,6,3,4,304,564,4507
172,4,3,4,304,603,5585
1268,1,3,4,304,450,3978
1999,4,3,4,304,473,4714
903,7,3,4,304,346,2452
1633,2,3,4,304,771,6357
1634,3,3,5,305,749,6092
2000,5,3,5,305,566,5048
173,5,3,5,305,533,4783
904,1,3,5,305,436,3283
539,7,3,5,305,346,2859
1269,2,3,5,305,708,5502
540,1,3,6,306,480,3897
2001,6,3,6,306,457,3698
1270,3,3,6,306,682,5740
174,6,3,6,306,448,3893
905,2,3,6,306,717,4823
1635,4,3,6,306,730,5772
2002,7,3,7,307,297,2670
906,3,3,7,307,720,4821
175,7,3,7,307,325,2917
1636,5,3,7,307,734,5861
1271,4,3,7,307,697,5635
541,2,3,7,307,737,5849
176,1,3,8,308,364,3353
1272,5,3,8,308,660,5375
542,3,3,8,308,783,6264
1637,6,3,8,308,557,4600
907,4,3,8,308,690,5059
2003,1,3,8,308,381,3416
908,5,3,9,309,700,4585
2004,2,3,9,309,561,4731
543,4,3,9,309,780,6062
1638,7,3,9,309,369,3390
177,2,3,9,309,578,5400
1273,6,3,9,309,548,4273
909,6,3,10,310,555,3682
544,5,3,10,310,744,5685
1639,1,3,10,310,501,4099
1274,7,3,10,310,387,3223
178,3,3,10,310,576,5395
2005,3,3,10,310,549,4820
545,6,3,11,311,614,4391
1275,1,3,11,311,439,3956
910,7,3,11,311,363,2350
1640,2,3,11,311,721,6240
179,4,3,11,311,596,5229
2006,4,3,11,311,529,4813
180,5,3,12,312,580,5371
1641,3,3,12,312,752,5871
911,1,3,12,312,434,3056
546,7,3,12,312,408,2880
2007,5,3,12,312,556,4393
1276,2,3,12,312,694,5895
547,1,3,13,313,510,3740
2008,6,3,13,313,441,3316
1277,3,3,13,313,809,6152
1642,4,3,13,313,780,6381
912,2,3,13,313,646,4746
181,6,3,13,313,486,4185
1643,5,3,14,314,715,5853
913,3,3,14,314,657,4613
548,2,3,14,314,792,5710
182,7,3,14,314,313,2724
2009,7,3,14,314,319,2416
1278,4,3,14,314,716,5906
549,3,3,15,315,731,5168
1279,5,3,15,315,782,6300
2010,1,3,15,315,314,2934
1644,6,3,15,315,617,4425
914,4,3,15,315,747,4560
183,1,3,15,315,424,3590
915,5,3,16,316,675,4520
1645,7,3,16,316,414,2961
184,2,3,16,316,579,5367
1280,6,3,16,316,586,4915
550,4,3,16,316,775,5577
2011,2,3,16,316,348,2732
185,3,3,17,317,581,5440
916,6,3,17,317,503,3346
1646,1,3,17,317,486,4008
