fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
424517.627141528,2,12,186,90.85198545455933,16
424114.6257529531,2,16,187,91.35715198516846,16
424114.6257529531,2,11,188,91.86014199256897,16
425834.1049947183,2,14,189,92.34412479400635,16
424114.6257529531,2,16,190,92.83138966560364,16
424517.627141528,2,15,191,93.48406624794006,16
424114.6257529531,2,16,192,93.99067711830139,16
424114.6257529531,2,15,193,94.49155974388123,16
424114.6257529531,2,15,194,94.98584604263306,16
424114.6257529531,2,16,195,95.47928619384766,16
424114.6257529531,2,14,196,95.99157452583313,16
424114.6257529531,2,13,197,96.64157843589783,16
424114.6257529531,2,11,198,97.13944363594055,16
424114.6257529531,2,15,199,97.63609552383423,16
424114.6257529531,2,13,200,98.1118049621582,16
